Seriation_Number	Assemblage	6137962-3-4	0-3-1118133	5535592-3-5104021	1030643-0-5091818	0-3-3500838	8831336-9163879-2	2-3103110-5104021	2-5819415-5104021	2-3-5258207	0-3-7250767	2-3-5104021	3-4-1639650	3-1592651-2	0-3-2692559	2-3-6638878	0-3-3210698	0-3-5094273	7635687-2560192-2	5944356-3-5056698	0-3-6242847	2873519-4-4929287	8141971-9163879-2	0-582117-5056698	0-3-7915002	7382797-3-5056698	0-1247688-4	0-3-5882790	6231951-3-2	7445357-3-4	3-4-4929287	0-348158-5056698	3854310-3-2	0-1071513-7250767	7047626-4-2	6137962-3-7421544	0-3-4549297	1030643-0-0	0-3-5056698	0-3-3062260	9559896-4-2	6603371-0-0	3-0-7644653	6403899-3-5056698	3-8227781-2	2-1717686-5104021	4868673-3-5056698	2556066-0-7644653	0-3-4	3174892-3-4	8596666-3-7250767	4522803-478440-2	2-5214868-2	4863164-3-5882790	2532036-478440-2	8141971-3981798-2	2793221-8343960-2	3-4-1187445	2-9421815-5104021	2-3-0	2-3-2	5775216-3-5056698	0-3-8605536	5361761-4-2	8192674-3-5104021	1030643-7156164-0	1727461-3-5056698	2-3-7806741	8141971-9398227-2	118961-3-7250767	3-8343960-3076651	3-478440-2	1066053-3-5056698	1452128-478440-2	709696-3-4	3-4-2	312226-3-4	709696-841744-4	0-3-6377691	1030643-0-9782302	2556066-2413101-7644653	3-4260589-1639650	1030643-0-3795021	1030643-0-9724330	6091621-3-5104021	3-8343960-2	7915013-7156164-0	3-2453864-2	4659026-0-0	7635687-4-2	0-5250290-5056698	3-478440-8751479	2354443-0-0	3-2404038-2	0-203512-7250767	3-0-0	0-3-8799398	0-4109076-7250767	2404429-3-7250767	8141971-478440-2	3-4-2116189	0-518510-4	0-3-6385213	8607029-478440-2
99	assemblage-246-160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20

100	assemblage-711-402	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	14	19	0	0	15	20	0	13	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
100	assemblage-554-333	0	0	0	0	0	0	0	0	0	142	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
100	assemblage-797-144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	5	0	0	8	0	0	0	0	18	0	0	26

101	assemblage-711-402	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	14	19	0	0	15	20	0	13	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
101	assemblage-554-333	0	0	0	0	0	0	0	0	0	142	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
101	assemblage-875-858	102	0	0	0	0	3	0	0	0	0	10	0	0	0	0	4	0	0	0	0	0	34	0	0	0	0	0	0	86	0	0	0	0	0	7	0	0	17	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	21

102	assemblage-711-402	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	14	19	0	0	15	20	0	13	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
102	assemblage-554-333	0	0	0	0	0	0	0	0	0	142	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
102	assemblage-380-667	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	16	0	0	0	104	0	0	0	0	0	73	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	17	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32

103	assemblage-711-402	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	14	19	0	0	15	20	0	13	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
103	assemblage-554-333	0	0	0	0	0	0	0	0	0	142	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
103	assemblage-246-160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20

104	assemblage-711-402	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	14	19	0	0	15	20	0	13	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
104	assemblage-554-333	0	0	0	0	0	0	0	0	0	142	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
104	assemblage-371-670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	30

105	assemblage-711-402	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	14	19	0	0	15	20	0	13	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
105	assemblage-879-835	99	0	0	0	0	8	0	0	0	0	11	0	0	0	0	4	0	0	0	0	0	18	0	0	0	0	0	0	75	0	0	0	0	0	10	0	0	28	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	35
105	assemblage-875-858	102	0	0	0	0	3	0	0	0	0	10	0	0	0	0	4	0	0	0	0	0	34	0	0	0	0	0	0	86	0	0	0	0	0	7	0	0	17	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	0	0	0	21

106	assemblage-711-402	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	14	19	0	0	15	20	0	13	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
106	assemblage-879-835	99	0	0	0	0	8	0	0	0	0	11	0	0	0	0	4	0	0	0	0	0	18	0	0	0	0	0	0	75	0	0	0	0	0	10	0	0	28	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	35
106	assemblage-246-160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20

